# capturado=2026-07-22T13:29:50.244337 puerto=COM3
# Prueba GPS Quectel L86-M33
# L86 detectado a 115200 baudios
# Configurado: 115200 baudios, 10 Hz, RMC+GGA
t_us,lat,lon,v_ms,rumbo,sats,hdop
2096668,4.638468,-74.082183,0.00,288.3,0,0.00
# *** FIX CONSEGUIDO ***
# sats=0 hdop=99.90 fix=SI chars=119 edad_pos=0s
2102872,4.638468,-74.082183,0.00,288.3,11,0.96
2284908,4.638468,-74.082183,0.00,288.3,11,0.96
2289460,4.638468,-74.082183,0.00,288.3,11,0.96
2389280,4.638468,-74.082183,0.00,288.3,11,0.96
2393832,4.638468,-74.082183,0.00,288.3,11,0.96
2493771,4.638468,-74.082183,0.00,288.3,11,0.96
2498319,4.638468,-74.082183,0.00,288.3,11,0.96
2598404,4.638468,-74.082183,0.00,288.3,11,0.96
2602941,4.638468,-74.082183,0.00,288.3,11,0.96
2784390,4.638468,-74.082183,0.00,288.3,11,0.96
2788935,4.638468,-74.082183,0.00,288.3,11,0.96
2888469,4.638468,-74.082183,0.00,288.3,11,0.96
2893016,4.638468,-74.082183,0.00,288.3,11,0.96
2992503,4.638468,-74.082183,0.00,288.3,11,0.96
2997043,4.638468,-74.082183,0.00,288.3,11,0.96
3095494,4.638468,-74.082183,0.00,288.3,11,0.96
# sats=11 hdop=0.96 fix=SI chars=1625 edad_pos=0s
3100035,4.638468,-74.082183,0.00,288.3,11,0.96
3284773,4.638468,-74.082183,0.00,288.3,11,0.96
3289326,4.638468,-74.082183,0.00,288.3,11,0.96
3388916,4.638468,-74.082183,0.00,288.3,11,0.96
3393467,4.638468,-74.082183,0.00,288.3,11,0.96
3492572,4.638468,-74.082183,0.00,288.3,11,0.96
3497110,4.638468,-74.082183,0.00,288.3,11,0.96
3595572,4.638468,-74.082183,0.00,288.3,11,0.96
3600112,4.638468,-74.082183,0.00,288.3,11,0.96
3788576,4.638468,-74.082183,0.00,288.3,11,0.96
3793120,4.638468,-74.082183,0.00,288.3,11,0.96
3892374,4.638468,-74.082183,0.00,288.3,11,0.96
3896910,4.638468,-74.082183,0.00,288.3,11,0.96
3995750,4.638468,-74.082183,0.00,288.3,11,0.96
4000290,4.638468,-74.082183,0.00,288.3,11,0.96
# sats=11 hdop=0.96 fix=SI chars=2969 edad_pos=0s
4184771,4.638468,-74.082183,0.00,288.3,11,0.96
4189297,4.638468,-74.082183,0.00,288.3,11,0.96
4289822,4.638468,-74.082183,0.00,288.3,11,0.96
4294372,4.638468,-74.082183,0.00,288.3,11,0.96
4393372,4.638468,-74.082183,0.00,288.3,11,0.96
4397919,4.638468,-74.082183,0.00,288.3,11,0.96
4496680,4.638468,-74.082183,0.00,288.3,11,0.96
4501213,4.638468,-74.082183,0.00,288.3,11,0.96
4686012,4.638468,-74.082183,0.00,288.3,11,0.96
4690566,4.638468,-74.082183,0.00,288.3,11,0.96
4790687,4.638468,-74.082183,0.00,288.3,11,0.96
4795230,4.638468,-74.082183,0.00,288.3,11,0.96
4894831,4.638468,-74.082183,0.00,288.3,11,0.96
4899369,4.638468,-74.082183,0.00,288.3,11,0.96
5084826,4.638468,-74.082183,0.00,288.3,11,0.96
5089379,4.638468,-74.082183,0.00,288.3,11,0.96
# sats=11 hdop=0.96 fix=SI chars=4433 edad_pos=0s
5190251,4.638468,-74.082183,0.00,288.3,11,0.96
5194787,4.638468,-74.082183,0.00,288.3,11,0.96
5293762,4.638468,-74.082183,0.00,288.3,11,0.96
5298307,4.638468,-74.082183,0.00,288.3,11,0.96
5396527,4.638468,-74.082183,0.00,288.3,11,0.96
5401065,4.638468,-74.082183,0.00,288.3,11,0.96
5585239,4.638468,-74.082183,0.00,288.3,11,0.96
5589795,4.638468,-74.082183,0.00,288.3,11,0.96
5691261,4.638468,-74.082183,0.00,288.3,11,0.96
5695807,4.638468,-74.082183,0.00,288.3,11,0.96
5794551,4.638468,-74.082183,0.00,288.3,11,0.96
5799078,4.638468,-74.082183,0.00,288.3,11,0.96
5980762,4.638468,-74.082183,0.00,288.3,11,0.96
5989722,4.638468,-74.082183,0.00,288.3,11,0.96
6095041,4.638468,-74.082183,0.00,288.3,11,0.96
# sats=11 hdop=0.96 fix=SI chars=5834 edad_pos=0s
6099609,4.638468,-74.082183,0.00,288.3,11,0.96
6197208,4.638468,-74.082183,0.00,288.3,11,0.96
