t_rx,seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,rssi,snr,lost,total
1784928390.065,853,10098062,-2.189,-0.546,-11.831,-8.938,0.905,-14.562,-167.882,15.085,-0.056,-0.223,-14.562,-69,10.25,0,1
1784928391.044,953,11098090,-1.021,0.124,-9.504,-3.139,-20.275,-67.633,-175.585,5.333,0.013,-0.104,-67.633,-67,13.25,99,2
1784928392.045,1053,12098060,-0.916,-2.089,-10.224,8.427,11.799,40.064,-166.454,7.005,-0.213,-0.093,40.064,-66,13.50,198,3
1784928393.056,1154,13109228,-0.511,-2.422,-9.394,-0.362,7.680,-3.912,-166.646,4.712,-0.247,-0.052,-3.912,-67,13.75,298,4
1784928394.077,1254,14109223,-0.976,-2.467,-9.283,6.809,-10.967,-11.663,-167.206,3.927,-0.252,-0.100,-11.663,-68,13.25,397,5
1784928395.056,1354,15109229,-1.224,-2.742,-9.485,-6.100,10.212,-0.616,-163.715,7.360,-0.280,-0.125,-0.616,-70,10.75,496,6
1784928396.086,1455,16119224,-1.424,-2.347,-9.021,-4.238,5.910,-23.687,-168.983,9.046,-0.239,-0.145,-23.687,-66,13.75,596,7
1784928397.066,1555,17119227,-1.202,-1.561,-7.086,2.567,12.745,-9.161,-168.413,9.139,-0.159,-0.123,-9.161,-66,13.75,695,8
1784928398.087,1655,18119214,-1.238,-1.286,-8.733,38.059,12.288,-16.393,-172.776,11.570,-0.131,-0.126,-16.393,-69,11.00,794,9
1784928399.087,1755,19119229,-2.623,-2.759,-9.353,-10.799,20.497,-26.769,-164.367,17.856,-0.281,-0.268,-26.769,-77,12.75,893,10
1784928400.588,1903,20621023,-1.171,-4.220,-7.030,-3.506,16.530,26.331,-167.054,11.389,-0.430,-0.119,26.331,-73,13.50,1040,11
1784928401.592,2004,21624289,-1.665,-2.173,-11.637,-41.836,13.020,-3.637,-167.924,6.225,-0.222,-0.170,-3.637,-74,11.00,1140,12
1784928402.559,2105,22632822,-0.494,0.594,-8.613,2.781,1.515,33.320,-180.990,1.924,0.061,-0.050,33.320,-75,10.50,1240,13
1784928403.079,2156,23132229,-1.176,0.983,-9.595,15.263,2.095,-6.750,-180.737,7.862,0.100,-0.120,-6.750,-77,13.50,1290,14
1784928403.617,2205,23649178,-1.794,-3.068,-10.959,12.760,21.535,18.854,-175.591,8.502,-0.313,-0.183,18.854,-71,11.25,1338,15
1784928404.598,2305,24650658,-1.395,-0.867,-8.877,-8.846,-4.131,6.434,-175.070,6.439,-0.088,-0.142,6.434,-70,12.75,1437,16
1784928405.618,2408,25650222,-1.457,-0.633,-9.125,-15.926,-9.777,-17.034,-176.073,3.206,-0.065,-0.149,-17.034,-64,10.50,1539,17
1784928406.618,2508,26650218,-1.093,-0.167,-12.768,-12.997,14.515,-18.255,-174.257,6.384,-0.017,-0.111,-18.255,-60,13.75,1638,18
1784928407.597,2608,27650217,-0.852,-1.233,-6.893,-8.602,-7.335,8.936,-176.823,2.038,-0.126,-0.087,8.936,-59,11.50,1737,19
1784928408.576,2708,28650213,0.429,0.242,-10.650,17.155,13.905,3.504,-175.044,5.761,0.025,0.044,3.504,-57,13.50,1836,20
1784928409.097,2758,29150233,-2.070,-0.606,-11.144,4.246,-2.208,3.046,-174.458,6.734,-0.062,-0.211,3.046,-58,13.75,1885,21
1784928410.118,2858,30150234,-2.521,-0.355,-9.117,-10.860,-64.739,20.136,-176.137,3.684,-0.036,-0.257,20.136,-55,13.50,1984,22
1784928411.119,2958,31150220,-1.381,-2.520,-11.346,10.197,23.518,-19.445,-169.739,11.857,-0.257,-0.141,-19.445,-54,10.25,2083,23
1784928412.098,3058,32150211,-1.479,-0.324,-8.426,-4.268,6.947,6.769,-177.722,11.127,-0.033,-0.151,6.769,-55,14.00,2182,24
1784928413.098,3158,33150220,0.181,-0.941,-7.734,15.202,25.075,-22.985,-180.753,5.060,-0.096,0.018,-22.985,-58,13.50,2281,25
1784928414.118,3258,34150236,0.052,-0.801,-9.151,5.436,-11.791,-10.748,-175.980,-0.477,-0.082,0.005,-10.748,-73,12.75,2380,26
1784928415.097,3358,35150228,0.691,-1.057,-9.720,-12.356,-0.743,4.938,-175.083,-1.059,-0.108,0.070,4.938,-71,11.50,2479,27
1784928416.098,3458,36150216,0.202,-0.864,-10.340,24.723,13.783,-0.860,-174.378,6.521,-0.088,0.021,-0.860,-65,10.00,2578,28
1784928417.098,3558,37150218,-2.037,0.402,-9.132,-8.236,-8.068,-0.372,-182.734,13.283,0.041,-0.208,-0.372,-65,10.00,2677,29
