seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1575105,-2.034,-0.997,-9.792,59.513,-2.178,-16.119,-174.182,11.682,-0.102,-0.207,-16.119,0.000000,0.000000,0.00,0,0
1,1585098,-2.077,-1.216,-9.694,65.373,-2.574,-15.570,-173.188,11.831,-0.124,-0.212,-15.570,0.000000,0.000000,0.00,0,0
2,1595112,-2.113,-1.626,-9.516,70.255,-3.124,-14.654,-171.745,11.985,-0.166,-0.215,-14.654,0.000000,0.000000,0.00,0,0
3,1605108,-2.070,-2.009,-9.478,73.246,-3.704,-13.738,-170.230,11.979,-0.205,-0.211,-13.738,0.000000,0.000000,0.00,0,0
4,1615097,-2.011,-2.547,-9.506,74.040,-4.344,-12.304,-168.503,11.853,-0.260,-0.205,-12.304,0.000000,0.000000,0.00,0,0
5,1625094,-1.996,-2.855,-9.398,72.300,-4.466,-11.083,-166.858,11.748,-0.291,-0.204,-11.083,0.000000,0.000000,0.00,0,0
6,1635086,-2.056,-2.928,-9.175,68.821,-3.917,-9.435,-165.442,11.767,-0.299,-0.210,-9.435,0.000000,0.000000,0.00,0,0
7,1645094,-2.123,-3.058,-9.007,64.518,-3.307,-7.055,-164.137,11.873,-0.312,-0.216,-7.055,0.000000,0.000000,0.00,0,0
8,1655086,-2.080,-3.347,-8.853,59.483,-2.574,-4.217,-162.769,11.940,-0.341,-0.212,-4.217,0.000000,0.000000,0.00,0,0
9,1665094,-2.073,-3.762,-8.776,51.335,-0.621,1.520,-161.280,11.992,-0.384,-0.211,1.520,0.000000,0.000000,0.00,0,0
10,1675093,-2.034,-4.283,-8.632,38.975,2.736,8.784,-159.605,12.017,-0.437,-0.207,8.784,0.000000,0.000000,0.00,0,0
11,1685094,-1.889,-4.601,-8.447,26.127,5.604,11.774,-157.908,11.937,-0.469,-0.193,11.774,0.000000,0.000000,0.00,0,0
12,1695087,-2.065,-4.572,-7.981,15.843,6.276,12.537,-156.309,12.104,-0.466,-0.211,12.537,0.000000,0.000000,0.00,0,0
13,1705094,-2.101,-4.579,-8.183,3.208,2.888,9.791,-155.089,12.217,-0.467,-0.214,9.791,0.000000,0.000000,0.00,0,0
14,1715093,-2.054,-4.206,-8.346,-2.041,-0.102,2.131,-154.437,12.256,-0.429,-0.209,2.131,0.000000,0.000000,0.00,0,0
15,1725094,-2.371,-3.603,-8.733,-4.696,-3.917,-3.057,-154.555,12.516,-0.367,-0.242,-3.057,0.000000,0.000000,0.00,0,0
16,1735086,-2.509,-3.176,-9.381,-5.184,-5.321,-5.651,-155.250,12.758,-0.324,-0.256,-5.651,0.000000,0.000000,0.00,0,0
17,1745087,-2.528,-2.880,-9.689,-4.696,-2.422,-6.262,-156.212,12.974,-0.294,-0.258,-6.262,0.000000,0.000000,0.00,0,0
18,1755086,-2.590,-2.749,-9.744,-2.468,1.271,-5.895,-157.187,13.244,-0.280,-0.264,-5.895,0.000000,0.000000,0.00,0,0
19,1765088,-2.461,-2.834,-9.677,0.462,4.994,-5.621,-157.959,13.419,-0.289,-0.251,-5.621,0.000000,0.000000,0.00,0,0
20,1775086,-2.290,-2.892,-9.374,2.293,7.863,-5.346,-158.520,13.509,-0.295,-0.233,-5.346,0.000000,0.000000,0.00,0,0
21,1785087,-2.125,-2.913,-9.098,3.544,9.175,-4.919,-158.926,13.508,-0.297,-0.217,-4.919,0.000000,0.000000,0.00,0,0
22,1795086,-1.963,-3.036,-8.887,4.185,9.114,-4.095,-159.127,13.395,-0.310,-0.200,-4.095,0.000000,0.000000,0.00,0,0
23,1805087,-1.870,-3.239,-8.690,3.666,8.107,-2.996,-159.090,13.223,-0.330,-0.191,-2.996,0.000000,0.000000,0.00,0,0
24,1815086,-1.896,-3.451,-8.618,2.598,5.971,-2.783,-158.875,13.068,-0.352,-0.193,-2.783,0.000000,0.000000,0.00,0,0
25,1825088,-1.882,-3.494,-8.709,0.736,3.529,-3.362,-158.697,12.877,-0.356,-0.192,-3.362,0.000000,0.000000,0.00,0,0
